Product_ID,Product_Name,Category,Item,Marketplace,URL
P1,Sony WH-1000XM5 Wireless Noise-Canceling Headphones,Electronics,Headphones,Amazon,amazon.com/Sony-WH-1000XM5-Headphones-Hands-Free-WH1000XM5/dp/B0BXYCS74H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.AiQTnHr7j97_VMmMJ1xxyGyKe07EpHd2QvBVXU5Z1GKclV0Tb5kn1I4Ikq_2QC6u0KNbmyYIuQkqbP6LPkat7H6L3F7xY9-2BcJ4ppl8x3glkuuOtEC8GtLRGwYalHz1OVlfLiGa_3M4VRPb-AIRhCKh4lFwJCyrVpYiJSO-6I6UgJrasVtXNSpVOQik4gc--iPerSqH6P4yY-873izKg82YyJRCz2XiBV5jnLrnjYA.cHHufX3MXotdMbF8hpAZEWDOlArCT_iaXdZNxvxCD5g&dib_tag=se&hvadid=676179671513&hvdev=c&hvexpln=0&hvlocphy=9194732&hvnetw=g&hvocijid=9596794597661192146--&hvqmt=e&hvrand=9596794597661192146&hvtargid=kwd-2003882119095&hydadcr=15454_13495259&keywords=headset+sony+wh-1000xm5&mcid=a726d785e2f7327cbbee957f9ae1024f&qid=1764194439&sr=8-1
P2,Ninja AF101 4-Quart Air Fryer,Kitchen Appliances,Air Fryer,Amazon,https://www.amazon.com/Ninja-Capacity-Dehydrate-Technology-AF181/dp/B0CS3V8M9H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ye0FK2RegR6ZKUpP9caYUJ0Z7k6F7RN2sptRVDNtrbI-ENKqWAJycWzmIEAVzCh7JFQLnNoKEj_7w6lEL9R5piI5XLSt7cqIStnKcCE-JD5cRYnwqDlvZmOVxsaFHR4t2dPAfe9HSTphTLmVDc6reQz9z_OEu_brCHWqvClLI7syc2phG8VcY93mQbMJX802KD8sMzNPl1pp9MHbODNZJ7HZV5HcGRsm1ryy57Xd7hM.7HOStVqgMkge0h8Eyz93zn7zN7PtVNDbh4ZnbipGYcs&dib_tag=se&hvadid=410018111006&hvdev=c&hvexpln=0&hvlocphy=9194732&hvnetw=g&hvocijid=12120195360623948812--&hvqmt=e&hvrand=12120195360623948812&hvtargid=kwd-1909413989643&hydadcr=20213_11121127&keywords=ninja%2Baf101%2B4%2Bquart%2Bair%2Bfryer&mcid=24c3ba891dc53faf9500ee9984694985&qid=1764194465&sr=8-1&th=1
P3,"CeraVe Hydrating Facial Cleanser, 16 oz",Beauty,Facial Cleanser,Amazon,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Washing/dp/B00D7BZJ3C/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1YJj7EcWpOPtCF4FrREf8kaDEx1q5jglKwzUbJ6W_f_WSX9XopJM4qhZNJHpAwzXJo5_SqSfj8HMdsJJj2wBeLwxuEr49D-8zxtrSKr18RyrWWdpRrwHRP6DlgVeKcx84m7E3IVZJNL5dwyLer6rsp4cX0iOy4tLPC-Lj3HnSi_Vo8gAH4I-ontPbUr2ibaeJoUAl8qS1hlwDrnkbiOdRcFvt_TreYkihSLXpj89tvmtaS66TkDAO5o9f96T2n5vXoFlDB0bHR749rWlCIb85nllxzV6-xLQtMuFrAPGZ9I.i7CXl_ENXNqiJ9CdM_Eh21vWwIP6wBDP5zohKfPtpfE&dib_tag=se&hvadid=410031880743&hvdev=c&hvexpln=0&hvlocphy=9194732&hvnetw=g&hvocijid=16897500214369218395--&hvqmt=e&hvrand=16897500214369218395&hvtargid=kwd-938153012067&hydadcr=27503_11866331&keywords=cerave%2Bhydrating%2Bcleanser%2Bfor%2Bface&mcid=6308e5a163fc30a2af39e7516286a27f&qid=1764194487&sr=8-1&th=1
